iter	RMSE
208	0.208922125
209	0.2080003861
210	0.2078184039
211	0.2069667979
212	0.206802292
213	0.2059333253
214	0.205536786
215	0.2044795901
216	0.2039968054
217	0.2036943895
218	0.203159353
219	0.2030182962
220	0.2022733119
221	0.2014239226
222	0.201269337
223	0.200479539
224	0.2000335181
225	0.1996982948
226	0.1990557489
227	0.1989135147
228	0.1979877432
229	0.1971482721
230	0.1964859578
231	0.1963462955
232	0.1957812366
233	0.195490551
234	0.1947882346
235	0.1946517495
236	0.1945224018
237	0.1942045165
238	0.1933422728
239	0.1925218443
240	0.1923929984
241	0.1920574897
242	0.1916877738
243	0.1910167726
244	0.1906550907
245	0.1899369878
246	0.1894962217
247	0.1888862968
248	0.1881799392
249	0.1880573444
250	0.1877241718
251	0.1870172681
252	0.1863154582
253	0.1856688367
254	0.1853754852
255	0.1849796806
256	0.1842862492
257	0.1837066898
258	0.1834996246
259	0.1830060393
260	0.182358018
261	0.1822415087
262	0.1818939489
263	0.1811995191
264	0.1807356395
265	0.1806299939
266	0.180088464
267	0.17959018
268	0.1790779072
269	0.1785318756
270	0.1776831064
271	0.1771913764
272	0.1770373592
273	0.1764634491
274	0.1757450992
275	0.175370332
276	0.1747964247
277	0.1742994768
278	0.1739225281
279	0.1736978136
280	0.1733018644
281	0.1731893301
282	0.1726921863
283	0.1723543607
284	0.1719016818
285	0.1713350712
286	0.1707623031
287	0.1705373595
288	0.1701794268
289	0.1700706859
290	0.1697660012
291	0.1690703032
292	0.168614553
293	0.1682328621
294	0.1680053682
295	0.1674278882
296	0.1670965788
297	0.1665125435
298	0.1662448613
299	0.1659580735
300	0.1654995786
301	0.1653589371
302	0.1648573779
303	0.1647580682
304	0.164190629
305	0.1638666373
306	0.163325372
307	0.1632194347
308	0.1627773667
309	0.1623974534
310	0.1622868008
311	0.1618187587
312	0.1614906967
313	0.16096302
314	0.1605222376
315	0.1601408928
316	0.1597054591
317	0.1596069547
318	0.1593448573
319	0.1588954443
320	0.1587902098
321	0.1583575528
322	0.1582673683
323	0.1577635972
324	0.1576128432
325	0.1573636736
326	0.1571888068
327	0.1570282141
328	0.1566706325
329	0.1562696226
330	0.1556730542
331	0.1552853557
332	0.1549500906
333	0.1545975378
334	0.154497563
335	0.1540580947
336	0.1539503034
337	0.153587801
338	0.1531876266
339	0.1527798628
340	0.1524549264
341	0.1521510143
342	0.1519008018
343	0.1516387726
344	0.151408602
345	0.151197523
346	0.15087674
347	0.1504070646
348	0.1498717952
349	0.1496493379
350	0.1494313302
351	0.149339563
352	0.1491419418
353	0.1489562323
354	0.1485331513
355	0.1484259465
356	0.1481789001
357	0.147776897
358	0.1476961517
359	0.1475104578
360	0.1472384439
361	0.1468379424
362	0.1465363025
363	0.1464355212
364	0.146186343
365	0.1458748412
366	0.1455695769
367	0.1453464046
368	0.1450863422
369	0.1448446743
370	0.1444941864
371	0.1443153659
372	0.1442059941
373	0.1440508187
374	0.1438162829
375	0.1436999744
376	0.1434182326
377	0.1429515385
378	0.142810004
379	0.1426687952
380	0.1422969559
381	0.1421622358
382	0.1417185478
383	0.1414917349
384	0.1413941279
385	0.1409824026
386	0.140712153
387	0.1404459049
388	0.1401382191
389	0.1398812632
390	0.1397245735
391	0.1396358703
392	0.1394145425
393	0.1389830169
394	0.1386745763
395	0.1385137098
396	0.1381564264
397	0.13800229
398	0.137875341
399	0.1375773004
400	0.1372974947
401	0.1370831072
402	0.1366956369
403	0.1362961817
404	0.136030512
405	0.1357572416
406	0.1355692725
407	0.1354277946
408	0.1351959797
409	0.1349729505
410	0.1346823526
411	0.1344887607
412	0.1341972211
413	0.133930327
414	0.1337143619
415	0.1334155712
416	0.1331966778
417	0.1329393986
418	0.1327846331
419	0.1326530261
420	0.1325650437
421	0.1323163151
422	0.1321166802
423	0.1318294865
424	0.1316268767
425	0.1314763384
426	0.1311804373
427	0.1311001383
428	0.1310174744
429	0.1307849838
430	0.1305481317
431	0.1302025476
432	0.1300549506
433	0.1299312201
434	0.1296459003
435	0.1294345866
436	0.1293055944
437	0.1292262244
438	0.1290431179
439	0.1289330971
440	0.1287999243
441	0.1285562009
442	0.1283366346
443	0.1280772132
444	0.1280040453
445	0.1279220587
446	0.1277502642
447	0.1275718348
448	0.1273496476
449	0.1271072929
450	0.1267506813
451	0.1263557876
452	0.12623752
453	0.1260259577
454	0.1259096791
455	0.1256169816
456	0.1253947756
457	0.1251965787
458	0.1250776223
459	0.124986165
460	0.1247443248
461	0.1245800211
462	0.1244507745
463	0.1242232965
464	0.1240425225
465	0.1239221939
466	0.1238058934
467	0.1236860539
468	0.1236287837
469	0.123551306
470	0.1231766875
471	0.1231157956
472	0.1228910975
473	0.1228223672
474	0.1227391851
475	0.1225888541
476	0.122449796
477	0.1220334664
478	0.1216180055
479	0.1215585444
480	0.1213090289
481	0.1212539692
482	0.1208753284
483	0.1208353695
484	0.120519641
485	0.1204101643
486	0.1202481863
487	0.1202151863
488	0.1201732709
489	0.1199601837
490	0.1198110145
491	0.1197530745
492	0.119496741
493	0.1192203249
494	0.1191583986
495	0.1188103452
496	0.1186909228
497	0.1184315101
498	0.118242657
499	0.1181385604
500	0.1178334774
501	0.1176677156
502	0.1176145258
503	0.1174735236
504	0.1173517473
505	0.1171094701
506	0.116883411
507	0.1168116598
508	0.116654332
509	0.1165386959
510	0.1163795585
511	0.1162661711
512	0.1160935133
513	0.1159158758
514	0.1156573107
515	0.1155608151
516	0.1154269099
517	0.1153478277
518	0.1152941071
519	0.1152446088
520	0.1150981797
521	0.1149991867
522	0.1148738559
523	0.1147846344
524	0.1147078348
525	0.1146199644
526	0.1145833088
527	0.1144727682
528	0.1142038302
529	0.1140929929
530	0.1140663003
531	0.1140322618
532	0.1139212463
533	0.1137059129
534	0.1134606664
535	0.1133276518
536	0.1131321962
537	0.1130138251
538	0.1129823652
539	0.1129323988
540	0.1126438609
541	0.1125122533
542	0.1123793191
543	0.1123435151
544	0.1120314769
545	0.1118934568
546	0.1117420812
547	0.1114926348
548	0.1112038051
549	0.111070493
550	0.110781589
551	0.1107303385
552	0.1105218939
553	0.1102787681
554	0.110054729
555	0.1100001301
556	0.1098532993
557	0.1097029993
558	0.1095921301
559	0.109522067
560	0.10943719
561	0.1092017701
562	0.1091221583
563	0.1089799697
564	0.1088289149
565	0.1085933506
566	0.1084504245
567	0.1083426696
568	0.1082347107
569	0.108130052
570	0.1080634642
571	0.1080230408
572	0.1078981881
573	0.1077730245
574	0.1075959057
575	0.1075284264
576	0.1074593
577	0.1073570936
578	0.1073158782
579	0.1072326024
580	0.1071735633
581	0.1070123651
582	0.1068571173
583	0.1066661767
584	0.1066013776
585	0.1064167381
586	0.1063462187
587	0.1062312107
588	0.1061616417
589	0.106027551
590	0.1059471562
591	0.1057841164
592	0.1055932578
593	0.1053655187
594	0.1051403709
595	0.105007924
596	0.1049134149
597	0.1048061125
598	0.1046650917
599	0.104607309
600	0.1045503407
601	0.1044008992
602	0.104232266
603	0.10414052
604	0.1040358595
605	0.1039595527
606	0.103926615
607	0.103738398
608	0.1036475553
609	0.1035575409
610	0.1034907717
611	0.1034515551
612	0.1033640295
613	0.1032856052
614	0.1032335841
615	0.1030647238
616	0.1029743124
617	0.1029263053
618	0.1027019389
619	0.1026408868
620	0.102457416
621	0.1022511989
622	0.1021494256
623	0.1020746321
624	0.1019370994
625	0.1018626262
626	0.1017994347
627	0.1016804209
628	0.1015320473
629	0.1014675869
630	0.1013986385
631	0.1012357873
632	0.1009730692
633	0.1008317415
634	0.1006044847
635	0.1004973309
636	0.1004267728
637	0.1003714306
638	0.1002292493
639	0.1000418531
640	0.09991484308
641	0.09988031902
642	0.099615776
643	0.09954557855
644	0.09943945937
645	0.09933873671
646	0.09922273639
647	0.09917733786
648	0.09902127498
649	0.09882638902
650	0.09878179898
651	0.09872394149
652	0.09857121964
653	0.09847371842
654	0.0983909782
655	0.09834124715
656	0.09825886208
657	0.09816312909
658	0.0980792211
659	0.09804600538
660	0.09792128338
661	0.09780031364
662	0.09771216188
663	0.09760709889
664	0.09755000727
665	0.09737913231
666	0.09732356084
667	0.09720560504
668	0.09699617425
669	0.09693549922
670	0.09685863876
671	0.09680712837
672	0.09658399988
673	0.09651185546
674	0.09641682767
675	0.09634804117
676	0.09612876538
677	0.09601077356
678	0.09593871195
679	0.09573233565
680	0.09567759368
681	0.0955449931
682	0.09545667826
683	0.09533467083
684	0.09527102413
685	0.09520094146
686	0.09513238664
687	0.09507773299
688	0.09493752116
689	0.09482021427
690	0.0946970152
691	0.09457409773
692	0.09446528714
693	0.09441309104
694	0.09432040567
695	0.09421964326
696	0.09417168197
697	0.09411647515
698	0.09402996989
699	0.09394654393
700	0.09387814238
701	0.09384044378
702	0.09376501568
703	0.09361720978
704	0.09345583982
705	0.09338255234
706	0.09332319532
707	0.09324379613
708	0.09312452079
709	0.09303717932
710	0.09297361652
711	0.09291309639
712	0.09279108926
713	0.09273792582
714	0.09266057013
715	0.09262319175
716	0.09248356833
717	0.09244679746
718	0.09235632685
719	0.09230803222
720	0.09221408311
721	0.09205190755
722	0.09193738089
723	0.09185736681
724	0.0917514708
725	0.09168338701
726	0.09161736603
727	0.09152512407
728	0.09146369265
729	0.09139863531
730	0.09136115607
731	0.09117410666
732	0.09109382585
733	0.09103599515
734	0.09077541669
735	0.09073263624
736	0.09068267031
737	0.09052442985
738	0.09039122356
739	0.09022666716
740	0.09016420306
741	0.0901251247
742	0.09005456999
743	0.09000194941
744	0.08982157946
745	0.08967396884
746	0.08960748956
747	0.0895464573
748	0.08949720534
749	0.08943510269
750	0.08932194217
751	0.08912868183
752	0.08901596222
753	0.08888354018
754	0.08882252619
755	0.08877753697
756	0.08870264965
757	0.08864216042
758	0.08859592829
759	0.08852542234
760	0.0884772149
761	0.08842614462
762	0.0883847379
763	0.08835550059
764	0.08829930366
765	0.08821492671
766	0.0881689072
767	0.08812395518
768	0.08810148718
769	0.08791579356
770	0.08789479403
771	0.08786211344
772	0.08776435299
773	0.08762257909
774	0.08754528613
775	0.08748085031
776	0.08743994002
777	0.08740918759
778	0.08732048456
779	0.08712223849
780	0.08708407445
781	0.08701728794
782	0.08695023559
783	0.08691449092
784	0.08673677164
785	0.08669347706
786	0.08658506395
787	0.08653824263
788	0.08649777347
789	0.0863644949
790	0.08624431647
791	0.0861968795
792	0.08615110749
793	0.08610581918
794	0.08604877202
795	0.0859170873
796	0.08584989849
797	0.08578156353
798	0.08573036889
799	0.08568299942
800	0.08564828391
801	0.08557114517
802	0.0854073134
803	0.08535968836
804	0.08526622864
805	0.08521367918
806	0.08511465631
807	0.08506881315
808	0.08503268162
809	0.08496870694
810	0.08490259716
811	0.08474136135
812	0.08471179132
813	0.08465565552
814	0.08455546291
815	0.08440091949
816	0.08424185911
817	0.08418331652
818	0.08410404313
819	0.08404412859
820	0.08395609435
821	0.08390326416
822	0.08383785346
823	0.08374054266
824	0.08369465874
825	0.08362276987
826	0.08348821023
827	0.08335337052
828	0.08324603582
829	0.08319340832
830	0.08315820372
831	0.08310063715
832	0.08305439376
833	0.08301125413
834	0.08295276831
835	0.08289927795
836	0.08285329763
837	0.08279833667
838	0.08276015191
839	0.08269746824
840	0.08262236445
841	0.08256929446
842	0.08250385493
843	0.08244591966
844	0.0823342844
845	0.08226324662
846	0.08218000611
847	0.08211450343
848	0.08206703477
849	0.08195442505
850	0.08189373058
851	0.08188204251
852	0.08186758019
853	0.08181151373
854	0.08177192974
855	0.08171886959
856	0.08165885767
857	0.08154843388
858	0.08151805557
859	0.08145189535
860	0.08141696606
861	0.08133276048
862	0.08124332632
863	0.08118330322
864	0.0811016615
865	0.0809546246
866	0.08086982324
867	0.08080080584
868	0.08075284835
869	0.08070448194
870	0.08063194685
871	0.08051897555
872	0.08045168947
873	0.08039421261
874	0.08030099431
875	0.08024666808
876	0.0802071088
877	0.08017190925
878	0.0801408972
879	0.08011429512
880	0.08006188465
881	0.08002286416
882	0.07988340398
883	0.07980710236
884	0.07973027817
885	0.07969725523
886	0.07966762168
887	0.07963261254
888	0.07958245936
889	0.07953412341
890	0.07944760031
891	0.07941330383
892	0.07934965607
893	0.07930077786
894	0.07924357319
895	0.07919596912
896	0.07913381033
897	0.0789986423
898	0.078943965
899	0.07889545866
900	0.07882845687
901	0.07877071428
902	0.07872142767
903	0.07869388199
904	0.07865812728
905	0.07862611523
906	0.07852132876
907	0.07843732176
908	0.07839947517
909	0.07827477107
910	0.0782295412
911	0.07821264875
912	0.07817433511
913	0.07816432643
914	0.07812002216
915	0.0779660955
916	0.07790972232
917	0.07783230154
918	0.0777075318
919	0.07765119119
920	0.07761513541
921	0.07758462162
922	0.07755382021
923	0.07746874773
924	0.07744590407
925	0.07736878755
926	0.07726885018
927	0.07723927087
928	0.0772022094
929	0.0771528577
930	0.07710893329
931	0.07708211377
932	0.07704841843
933	0.0769790752
934	0.07695100546
935	0.07692511266
936	0.07682289291
937	0.07673240135
938	0.07665327528
939	0.07657810718
940	0.07652953448
941	0.07645526106
942	0.0763725932
943	0.076287471
944	0.07611448664
945	0.07607459096
946	0.0759352695
947	0.07590673123
948	0.0758723912
949	0.07581761726
950	0.0757637245
951	0.07573110928
952	0.0756807102
953	0.07556432884
954	0.07540808169
955	0.07535823317
956	0.07531561991
957	0.07528470607
958	0.07523711842
959	0.07519358986
960	0.07515558606
961	0.07511785113
962	0.07508502047
963	0.07504028006
964	0.07494734896
965	0.07489231349
966	0.07483094814
967	0.07480787369
968	0.0747255235
969	0.07462510059
970	0.07459076594
971	0.07451106485
972	0.07448020467
973	0.07442017513
974	0.07431625078
975	0.07427306622
976	0.07424343328
977	0.07408330253
978	0.0739902745
979	0.07394899453
980	0.07389354381
981	0.07385148309
982	0.07380475486
983	0.07372156604
984	0.07361232582
985	0.07357326291
986	0.07354884371
987	0.07352363877
988	0.07348825838
989	0.07342124414
990	0.07336864959
991	0.07328957646
992	0.07321295867
993	0.07315028796
994	0.07308230651
995	0.07304748039
996	0.07295784222
997	0.07291945649
998	0.07283989013
999	0.07279484202
