feature,importance
Reviews,0.19293052488411258
Review_Density,0.17961531368841746
App_Age_Days,0.11307078386087166
App_Name_Length,0.10392565810380072
Size_MB,0.09626532423275756
Category_Popularity,0.07535119053844994
Android_Min_Version,0.04001079891461598
Android_Version_Score,0.03998060646539811
Install_Category_Very Low,0.034299738248460804
Has_Reviews,0.02836163472894076
Content_Rating_Score,0.020253992657554946
Install_Category_Very High,0.018370497825645867
Size_Category_Medium,0.009942343298429832
Size_Category_Small,0.008067402531354774
Price_Numeric,0.00783315476480091
Install_Category_Medium,0.0076427380978796484
Install_Category_Low,0.0067623192773697376
Size_Category_nan,0.006618660024008619
Price_Category_Low,0.0023804475193662457
Price_Category_nan,0.002335323915815131
Type_Free,0.0023040059472854706
Type_Paid,0.00227979498144565
Price_Category_High,0.0006447670952217442
Price_Category_Medium,0.0006365015640146879
Install_Category_nan,0.00011647683398117023
