feature,importance
Reviews,0.7435407616373156
Install_Category_Very High,0.10981112895622255
Install_Category_Very Low,0.0896767255243804
Review_Density,0.019893061119906106
Install_Category_Medium,0.011861543512910388
Install_Category_Low,0.010533656054282994
Install_Category_nan,0.006717086878930777
App_Age_Days,0.0019324419616406799
Size_MB,0.001300405793525817
App_Name_Length,0.001212210113559678
Category_Popularity,0.0008895649432768092
Has_Reviews,0.0008761212175155701
Type_Paid,0.00032183490537593043
Price_Numeric,0.00029302617465920365
Android_Min_Version,0.00026247247083318606
Android_Version_Score,0.00025564024691209804
Size_Category_nan,0.00019687224058742523
Content_Rating_Score,0.00017239719364086018
Price_Category_nan,8.452918896403595e-05
Size_Category_Medium,7.619524810724827e-05
Size_Category_Small,5.756485393965013e-05
Price_Category_Low,2.5104708765954814e-05
Price_Category_Medium,7.573030948542248e-06
Price_Category_High,2.0820237986320813e-06
